distance_miles,latitude,longitude,elevation_m
0.0,51.007933,10.227578,195.0
1.0,50.99539183319776,10.229053184389752,301.0080681649639
2.0,50.98207338492699,10.227783575105414,337.87261264245103
3.0,50.97105100831077,10.238400815361386,386.7547719225684
4.0,50.96189020274938,10.247701716546203,388.9492038375517
5.0,50.95313696438374,10.255499805215003,371.9
6.0,50.9492386501035,10.2745592765393,389.6
6.999999999999999,50.945131009092385,10.291149849018348,394.5905600260246
8.0,50.93734341703269,10.303926178767389,415.74201894026146
9.0,50.930609969075235,10.320209969824658,445.60761877822347
10.0,50.919557818723156,10.330503641643887,457.6711636079766
11.0,50.905804436656766,10.33454880651758,545.792138531598
12.0,50.892836607815916,10.339556437085962,566.0518048183127
13.0,50.88042161863339,10.339371998451329,631.1995710970878
13.999999999999998,50.87176103299735,10.35449728988253,673.2393509662766
15.0,50.8633337328378,10.371705091249174,689.1132757932133
16.0,50.857778730121396,10.39036669141805,673.2567469650471
17.0,50.852993491180946,10.40763286163295,693.0178401492485
18.0,50.8443868542937,10.424205993880088,722.668825278491
19.0,50.84649354890259,10.441800672090105,781.7502396287524
20.0,50.84999729418455,10.460465766098409,893.4272817377574
21.0,50.845513490903,10.479171877049474,740.0743009766218
22.0,50.83603138226227,10.495304231519208,809.2887635890033
23.0,50.83686649632315,10.515612526235563,720.2978420732703
24.0,50.82794810025786,10.53180684759077,697.2385283991923
25.0,50.817345264186415,10.54201399504611,720.9510088249525
26.0,50.803680868235745,10.545547627262184,707.1663635552684
27.0,50.79106806257903,10.540605588975389,733.1287663932136
27.999999999999996,50.784622494090236,10.54442759222793,750.6398728510312
29.0,50.78000669001744,10.563188871702243,747.7
30.0,50.766914634975535,10.563313042281084,744.6823367640009
31.0,50.75405614495509,10.5676196835364,809.7430490400245
32.0,50.740907129420975,10.57607631549106,866.0574061504485
33.0,50.73631117014469,10.596111654362215,850.0865837352401
34.0,50.73583503458177,10.617727040807202,819.2543336584708
35.0,50.72858372401158,10.636190664416462,843.7587078110674
36.0,50.71753728930131,10.647479633382105,872.429237065313
