distance_miles,latitude,longitude,elevation_m
0.0,55.05850223824382,8.419664399698377,1.0
1.0,55.052192831512784,8.401763164223368,5.284417204757542
2.0,55.042171662820834,8.388954019643348,1.0
3.0,55.02877597003539,8.379567657348721,3.570839961582486
4.0,55.01543740201636,8.369769117538214,1.0
5.0,55.00201845854711,8.360323110002854,1.6175854987649034
6.0,54.98854910702483,8.351090887420314,1.055625690946614
6.999999999999999,54.97526277559212,8.341095328314445,1.0
8.0,54.96187861110517,8.333895833772106,10.0
9.0,54.9506201772192,8.324475342857802,18.467554481039134
10.0,54.93839437315163,8.318764295582032,18.049524274794727
11.0,54.926024793184666,8.311011913259872,11.0
12.0,54.91333579551902,8.30786008706775,5.046168919989018
13.0,54.901893371143466,8.316625406914593,4.0
13.999999999999998,54.89141392106196,8.326014639687033,0.7354699878848272
15.0,54.88225432699853,8.340532034019468,2.0
16.0,54.87683003239393,8.360961519887994,3.9530673058160666
17.0,54.86552539449387,8.37307432562787,2.192370118401512
18.0,54.85736027892566,8.383698891113227,3.1017609168157527
19.0,54.864675702102524,8.397202676550908,2.0000401320633103
20.0,54.86726362316754,8.418170795626144,3.8564350069743436
21.0,54.872154116351616,8.433769442629199,6.571968383369579
22.0,54.870684928975756,8.458790156159111,10.219057888046544
23.0,54.8738882687629,8.482344740082839,2.3418857610907104
24.0,54.88123117262953,8.504014695270635,1.305704063960943
25.0,54.8837494443653,8.528587498261837,1.8290221088261474
26.0,54.88456849248827,8.553706291188064,1.1567166116862089
27.0,54.885454579117116,8.578818936892581,2.1943880512115648
27.999999999999996,54.88636157932699,8.603930406602666,3.539689100382692
29.0,54.88576435903847,8.628921355046938,2.8629019501613886
30.0,54.87772363503297,8.649421827145076,3.5330252084795077
31.0,54.86751062678237,8.667232719298775,0.9568511460838108
32.0,54.865738308574905,8.678584722285356,1.2562801411510065
33.0,54.87969859473055,8.681831948662204,1.5224644912088312
34.0,54.88816877848591,8.693331070156225,1.21875
35.0,54.89172663362015,8.714035899403438,1.21875
36.0,54.89331526422717,8.73834096084142,-0.3309249995188194
37.0,54.90025491756665,8.756953083911585,0.366900122197027
38.0,54.898967428659766,8.776779884948935,-0.24511399629862912
39.0,54.90875907629193,8.793692417618248,-0.5267709365037256
40.0,54.910965982203265,8.815226231308005,-0.4423508209362343
41.0,54.91155829676422,8.832520069697603,-0.37911300237565737
42.0,54.90191719549934,8.824293853782804,1.9376137226276382
43.0,54.896040286236726,8.839439541529156,-1.8719904019415345
44.0,54.88498739643507,8.840795094455892,-1.750056477904455
44.99999999999999,54.87847708269498,8.861254041418912,0.03410528310591503
46.0,54.87486754085829,8.884323603408713,4.80581578646406
47.0,54.87131392600534,8.90493572240231,7.95154596323921
48.0,54.874603172623836,8.92571785074255,5.067503506548923
49.0,54.86745423094173,8.936856449006049,8.082232148186964
50.0,54.86154103729585,8.952310759798687,13.938092044883259
51.00000000000001,54.86977011885494,8.964088797502514,10.193191399957243
52.0,54.86981535083257,8.980965833982673,9.695323418446636
53.0,54.85724770384744,8.987409127009379,14.157232652727146
54.0,54.8506642250381,9.008431447636562,13.731492957879041
55.0,54.842904518239855,9.02104914758271,18.961250302389228
55.99999999999999,54.846804676406435,9.034439070219113,17.617861533432826
57.0,54.8465774774433,9.049928109635426,11.60116580246402
58.0,54.848925709988094,9.070449345678064,13.430756505101764
59.0,54.841763482825144,9.087844202525497,17.51813744024845
60.0,54.83955095169513,9.111138327296382,10.436836982215002
60.99999999999999,54.84207933839859,9.127645287719902,14.796471530012333
62.0,54.83457176718144,9.148328436216586,23.827165107237906
63.0,54.829379387287666,9.169056704931261,31.07109949283872
64.0,54.820954794355984,9.178762822817596,29.727968542614924
65.0,54.82453127437961,9.198365836564896,37.81513921048973
66.0,54.81139089879656,9.207680903131934,37.50452253147877
67.0,54.807754200104156,9.226160149050438,33.279550603314455
68.0,54.803127460675704,9.247656430366227,24.627899004346414
69.0,54.80548261722686,9.266765036586971,25.902944659418093
70.0,54.80312540978844,9.289938374172953,29.900246117217804
71.0,54.7948195122369,9.30852224257767,31.42071837307057
72.0,54.78477013010401,9.323864142591962,33.377476472878705
73.0,54.790039443566435,9.340938297852116,35.34601554303974
74.0,54.79559143882881,9.362248970369023,37.26005863164319
